length,count
1,20881426
2,18352585
3,21007461
4,20090524
5,21891692
6,24066613
7,23218794
8,21531378
9,24796552
10,27254634
11,25405795
12,23807717
13,24002203
14,24051328
15,23762606
16,23980785
17,23520196
18,23512212
19,21905656
20,22112439
21,21463262
22,22715858
23,22252249
24,21613949
25,21512227
26,22850850
27,21012193
28,31327502
29,22566298
30,24194712
31,22862039
32,20358791
33,20531118
34,19959791
35,19813093
36,18042924
37,17604008
38,17463233
39,17152070
40,16891184
41,17281842
42,18786505
43,19874819
44,16711243
45,15762038
46,15663302
47,16118773
48,18752840
49,15015191
50,15123737
51,14802007
52,14975570
53,14768590
54,15487337
55,16727215
56,16049309
57,14968963
58,15008379
59,14509327
60,15168210
61,14563149
62,14429258
63,14260376
64,14042823
65,14049261
66,13751323
67,14041650
68,13748412
69,13295759
70,13147243
71,13142067
72,13248149
73,13608803
74,12778363
75,12658291
76,12623100
77,12542277
78,12487694
79,12744759
80,42158852
81,12597177
82,12607775
83,12498206
84,12413420
85,12403880
86,12662328
87,12343995
88,12452183
89,12173806
90,11953557
91,11848586
92,11730246
93,11553474
94,11484579
95,11349462
96,11393644
97,11292625
98,11187548
99,11067972
100,11158470
101,11225679
102,10856838
103,10683118
104,10621855
105,10661591
106,10850404
107,10810439
108,10336973
109,10357966
110,10735540
111,10812163
112,10010731
113,9902966
114,10399014
115,10323991
116,9785635
117,9677965
118,9636096
119,9805884
120,9375904
121,9242675
122,9860068
123,9477603
124,9057845
125,8988302
126,9096730
127,8983130
128,8912718
129,8834981
130,8737071
131,8926747
132,8753701
133,8640616
134,8673537
135,8791558
136,8459591
137,8285962
138,8289278
139,8355344
140,8808620
141,8043377
142,7859238
143,7923461
144,7938339
145,7789129
146,7750738
147,7618584
148,7542877
149,7550387
150,8108010
151,7745890
152,7375606
153,8531410
154,7332491
155,8582370
156,7270705
157,7205084
158,7095857
159,7117225
160,6994086
161,6948020
162,7175874
163,6844819
164,6779361
165,7453498
166,6751101
167,6825310
168,6750728
169,7043252
170,7075519
171,7040930
172,6773718
173,6616156
174,6589048
175,6873345
176,6748425
177,6516448
178,6533526
179,6410828
180,6347431
181,6155719
182,6042534
183,6031890
184,6026432
185,5940580
186,6053412
187,6090353
188,6266182
189,6184474
190,6000640
191,5891360
192,5834481
193,5921842
194,5950836
195,5872825
196,5896079
197,6153242
198,6039797
199,6032598
200,6145414
201,4549809
202,4435232
203,4406288
204,4342257
205,4293438
206,4281732
207,4264390
208,4193966
209,4395014
210,4126300
211,4148583
212,4072649
213,4200350
214,4223139
215,3991524
216,3974358
217,4238576
218,3898780
219,3863380
220,3839726
221,3806573
222,3762816
223,3759264
224,3759950
225,3720436
226,3679639
227,3623169
228,3608326
229,3585209
230,3562418
231,3578051
232,3583248
233,3579243
234,3494623
235,3477159
236,3481972
237,3450074
238,3436760
239,3400630
240,3400746
241,3381618
242,3336511
243,3372097
244,3392864
245,3331909
246,3323176
247,3302281
248,3317433
249,3264782
250,3245375
251,3209291
252,3186913
253,3169222
254,3140392
255,3126968
256,3122016
257,3081560
258,3069151
259,3036288
260,3035174
261,3035375
262,3019111
263,3027691
264,2990591
265,3306366
266,3028687
267,2941701
268,2936552
269,2932363
270,2929153
271,2913739
272,2949844
273,2917438
274,2896728
275,2928074
276,2922103
277,2930387
278,2939367
279,3032948
280,3021656
281,2892102
282,2896738
283,2767761
284,2715604
285,2700555
286,2685110
287,2651690
288,6287066
